country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",05-04-2026 08:00,26.181742,91.78063,SO2,1,8,4
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-04-2026 08:00,26.349082,92.68449,NH3,3,4,4
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-04-2026 08:00,26.349082,92.68449,SO2,6,15,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-04-2026 08:00,26.446912,91.439057,PM10,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",05-04-2026 08:00,24.82827,92.79525,NO2,24,31,28
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",05-04-2026 08:00,26.987634,94.636574,SO2,8,9,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",05-04-2026 08:00,26.987634,94.636574,CO,23,45,33
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",05-04-2026 08:00,16.9872867,81.7363176,OZONE,9,19,10
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",05-04-2026 08:00,13.67,79.35,NH3,2,3,2
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",05-04-2026 08:00,13.67,79.35,SO2,4,18,8
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",05-04-2026 08:00,13.615387,79.40923,OZONE,20,35,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",05-04-2026 08:00,16.536107,80.594233,PM2.5,44,120,63
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",05-04-2026 08:00,16.186555,81.13219,NH3,4,9,6
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",05-04-2026 08:00,16.186555,81.13219,SO2,14,53,21
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",05-04-2026 08:00,16.186555,81.13219,CO,6,114,18
